station_id,mean_utilization,category
1029,0.7602687757201646,High
715,0.7331641737891739,High
570,0.6397597001763669,High
732,0.6145779500430664,High
982,0.5894000771604938,High
1131,0.582487922705314,High
719,0.5797067901234567,High
835,0.5766589506172839,High
712,0.5756970164609053,High
991,0.5612822061191626,High
102,0.5528973765432098,High
522,0.5416287878787878,High
633,0.5413614540466393,High
691,0.5118915343915343,High
745,0.49969411375661366,Moderate
775,0.49190259971509975,Moderate
501,0.48106038219070135,Moderate
596,0.4785300925925926,Moderate
851,0.4720094874804382,Moderate
795,0.4608425476447321,Moderate
1049,0.4537203199486615,Moderate
595,0.4536825831305758,Moderate
698,0.4525848765432099,Moderate
512,0.4518236714975845,Moderate
858,0.45139224369296826,Moderate
1026,0.4470596650020807,Moderate
1098,0.44516391391391386,Moderate
842,0.44345619658119656,Moderate
735,0.44134990253411305,Moderate
996,0.43855042016806717,Moderate
744,0.43763374485596707,Moderate
331,0.4339281121399177,Moderate
333,0.43230350378787874,Moderate
986,0.43165377735690236,Moderate
1137,0.42219060785322354,Moderate
346,0.41809553872053873,Moderate
900,0.4147665895061728,Moderate
974,0.41476500234411623,Moderate
208,0.4123842592592592,Moderate
1071,0.40876575360082307,Moderate
883,0.40813078703703703,Moderate
1082,0.4048941798941798,Moderate
576,0.4031139015728057,Moderate
519,0.4021589428624604,Moderate
771,0.39854359567901226,Moderate
972,0.39591512345679014,Moderate
1173,0.3931055345117845,Moderate
1086,0.3911361882716049,Moderate
832,0.39007066276803115,Moderate
733,0.3888007478632478,Moderate
781,0.3869113756613756,Moderate
751,0.3842946244855967,Moderate
965,0.38411749928222794,Moderate
799,0.3837598128019324,Moderate
746,0.38247383252818035,Moderate
1067,0.3812192932728647,Moderate
227,0.3808857212475633,Moderate
1085,0.3757181503792949,Moderate
1164,0.3646701388888889,Moderate
1076,0.36260538994278835,Moderate
716,0.36245905769715286,Moderate
1167,0.36138652559627693,Moderate
588,0.3609651395798784,Moderate
322,0.3602500701459035,Moderate
325,0.35765065913370997,Moderate
513,0.35485955406078723,Moderate
784,0.3536919334588826,Moderate
708,0.3531474014336917,Moderate
108,0.35242462013295345,Moderate
1124,0.3516355494839101,Moderate
690,0.3509656084656084,Moderate
704,0.3498752298397688,Moderate
855,0.34639715608465604,Moderate
328,0.34135721247563355,Moderate
235,0.3409426141257536,Moderate
1075,0.3406105324074074,Moderate
1149,0.34035011574074076,Moderate
1083,0.33995159932659935,Moderate
340,0.33981984702093393,Moderate
216,0.3364293981481481,Moderate
326,0.33385696040868446,Moderate
802,0.33338521711366537,Moderate
702,0.3329089506172839,Moderate
888,0.3326717231415812,Moderate
335,0.33238648011480104,Moderate
1031,0.32874811584840646,Moderate
966,0.3245771452145214,Moderate
773,0.32426215277777776,Moderate
332,0.32279237117552334,Moderate
703,0.3155495651402201,Moderate
552,0.31542622785829305,Moderate
852,0.3117332175925926,Moderate
682,0.3072152777777778,Moderate
1043,0.3050517429193899,Moderate
969,0.29982175925925925,Underutilized
330,0.299074074074074,Underutilized
323,0.29855747515808484,Underutilized
887,0.298463220164609,Underutilized
598,0.2959780092592592,Underutilized
709,0.2953000992063492,Underutilized
724,0.2945218373493975,Underutilized
706,0.2916589506172839,Underutilized
628,0.29137731481481477,Underutilized
627,0.2903645833333333,Underutilized
324,0.29021387184730735,Underutilized
1095,0.28816650702426566,Underutilized
699,0.288088124461671,Underutilized
529,0.2864076967592592,Underutilized
307,0.28612413194444447,Underutilized
1032,0.28598842592592594,Underutilized
632,0.2848688271604938,Underutilized
226,0.2833447443922796,Underutilized
804,0.2828097442680776,Underutilized
1093,0.2825231481481481,Underutilized
526,0.28228915056360704,Underutilized
998,0.28133073273891174,Underutilized
520,0.28057396885521885,Underutilized
506,0.2788125995619275,Underutilized
1162,0.2784669612794613,Underutilized
217,0.27821831036462813,Underutilized
348,0.2757940353143841,Underutilized
700,0.27538814066591843,Underutilized
1009,0.2743696062567422,Underutilized
223,0.2742305788492896,Underutilized
527,0.2734953703703703,Underutilized
525,0.2724866103848947,Underutilized
1121,0.2723755005005004,Underutilized
967,0.27142650462962964,Underutilized
1166,0.27133132309941516,Underutilized
895,0.2694958847736625,Underutilized
1074,0.2659496386630533,Underutilized
1072,0.2636693218954248,Underutilized
329,0.26351782494104586,Underutilized
1000,0.26112010650546913,Underutilized
693,0.2565462962962963,Underutilized
1037,0.2565200617283951,Underutilized
1088,0.25236952861952855,Underutilized
502,0.25233680555555554,Underutilized
1159,0.24778772742040278,Underutilized
790,0.24758752893518518,Underutilized
1144,0.2463626770152505,Underutilized
975,0.24350565843621397,Underutilized
1126,0.24216545414462076,Underutilized
705,0.24155904808317089,Underutilized
636,0.24021990740740737,Underutilized
589,0.23881221064814817,Underutilized
347,0.235823754789272,Underutilized
343,0.23263475529100522,Underutilized
1011,0.22723507482773467,Underutilized
584,0.22641203703703702,Underutilized
988,0.22483630952380948,Underutilized
587,0.22451354079643548,Underutilized
681,0.21820987654320984,Underutilized
903,0.21773269980506818,Underutilized
1115,0.2166199970131421,Underutilized
1111,0.21540136534839924,Underutilized
891,0.21486625514403287,Underutilized
644,0.21302565586419753,Underutilized
1068,0.21293187402612965,Underutilized
630,0.21194058641975305,Underutilized
983,0.20985157952069716,Underutilized
580,0.20774305555555556,Underutilized
107,0.20709175084175083,Underutilized
111,0.20684232026143787,Underutilized
585,0.20655864197530863,Underutilized
1112,0.20493184156378597,Underutilized
741,0.20437073586744633,Underutilized
1107,0.20289351851851847,Underutilized
710,0.20224369701026323,Underutilized
1119,0.2021581039003605,Underutilized
989,0.2021160020908004,Underutilized
739,0.2016203703703704,Underutilized
206,0.20053945249597424,Underutilized
904,0.19958204732510282,Underutilized
1081,0.19467592592592592,Underutilized
1066,0.1943113425925926,Underutilized
1168,0.19377691645133502,Underutilized
728,0.1862899831649831,Underutilized
1100,0.18615807836822326,Underutilized
